epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.8968,1.9974,1.57251,2.54736,0.75523,0.76438,0.79809,0.3618,1.70255,1.17478,2.34424,0.00332,0.00332,0.00332
2,180.229,1.50767,0.97592,2.11145,0.87343,0.85211,0.90511,0.51335,1.4929,0.9058,2.00535,0.00658747,0.00658747,0.00658747
3,264.407,1.5402,0.96902,1.96528,0.85133,0.83102,0.89854,0.51778,1.42574,0.97018,1.97622,0.00978893,0.00978893,0.00978893
4,349.489,1.49803,0.96016,1.88029,0.83556,0.83879,0.89623,0.52286,1.50666,0.9306,1.85992,0.009703,0.009703,0.009703
5,433.621,1.43514,0.92135,1.80516,0.87804,0.86587,0.93129,0.61582,1.29547,0.87159,1.825,0.009604,0.009604,0.009604
6,518.025,1.38254,0.88573,1.7562,0.89985,0.89849,0.94663,0.63561,1.13836,0.80876,1.77229,0.009505,0.009505,0.009505
7,602.725,1.36553,0.87149,1.72757,0.92006,0.91196,0.95926,0.67929,1.11511,0.75398,1.67792,0.009406,0.009406,0.009406
8,686.803,1.33098,0.84695,1.70915,0.91663,0.92127,0.95459,0.68297,1.04659,0.73476,1.74857,0.009307,0.009307,0.009307
9,770.156,1.31593,0.84396,1.68737,0.91443,0.9145,0.96039,0.68772,1.09985,0.76111,1.74433,0.009208,0.009208,0.009208
10,854.548,1.2931,0.83143,1.66886,0.9158,0.91906,0.95734,0.6869,1.05623,0.74339,1.65355,0.009109,0.009109,0.009109
11,938.446,1.28254,0.82387,1.65817,0.91921,0.92384,0.95738,0.68824,1.07193,0.7234,1.64179,0.00901,0.00901,0.00901
12,1021.77,1.27533,0.816,1.65244,0.90963,0.92305,0.95294,0.69178,1.0127,0.72575,1.6432,0.008911,0.008911,0.008911
13,1106.7,1.26398,0.81288,1.63774,0.92203,0.92096,0.96097,0.71568,1.01852,0.70927,1.63085,0.008812,0.008812,0.008812
14,1191.61,1.25298,0.79997,1.63608,0.92289,0.92393,0.9619,0.6747,1.0516,0.71826,1.63726,0.008713,0.008713,0.008713
15,1275.59,1.23308,0.79398,1.62975,0.93057,0.92652,0.96822,0.71739,1.01708,0.68671,1.6025,0.008614,0.008614,0.008614
16,1359.99,1.23449,0.79034,1.63374,0.91175,0.94212,0.96201,0.7141,0.97858,0.67379,1.60635,0.008515,0.008515,0.008515
17,1445.3,1.23218,0.78954,1.618,0.93371,0.93427,0.96981,0.7351,0.94708,0.67198,1.62954,0.008416,0.008416,0.008416
18,1529.95,1.21465,0.77553,1.61478,0.92584,0.93484,0.96648,0.71412,0.98089,0.68819,1.61038,0.008317,0.008317,0.008317
19,1614.51,1.21813,0.77333,1.61631,0.93752,0.93688,0.97276,0.73767,0.991,0.66732,1.58732,0.008218,0.008218,0.008218
20,1698.7,1.20192,0.76605,1.60286,0.93548,0.94777,0.97291,0.7433,0.92707,0.66156,1.55738,0.008119,0.008119,0.008119
21,1783.05,1.17763,0.75724,1.6011,0.93824,0.95248,0.97593,0.74524,0.92433,0.63336,1.58889,0.00802,0.00802,0.00802
22,1868.12,1.17777,0.75287,1.59099,0.94336,0.95028,0.97667,0.76117,0.88894,0.63543,1.59282,0.007921,0.007921,0.007921
23,1952.41,1.17812,0.7508,1.58959,0.93093,0.9484,0.97307,0.74528,0.91851,0.64718,1.54723,0.007822,0.007822,0.007822
24,2037.48,1.1651,0.74476,1.59237,0.93503,0.94937,0.97352,0.75829,0.89201,0.62771,1.55831,0.007723,0.007723,0.007723
25,2121.69,1.16053,0.73999,1.58333,0.94562,0.94973,0.97806,0.75669,0.89543,0.62619,1.55605,0.007624,0.007624,0.007624
26,2205.7,1.14032,0.73203,1.57642,0.93782,0.95155,0.97417,0.75413,0.88812,0.62899,1.53608,0.007525,0.007525,0.007525
27,2290.43,1.14303,0.73396,1.5771,0.93366,0.95082,0.9733,0.76609,0.87303,0.61687,1.53841,0.007426,0.007426,0.007426
28,2375.13,1.13494,0.71974,1.57732,0.93991,0.95196,0.97434,0.76416,0.88001,0.60962,1.54091,0.007327,0.007327,0.007327
29,2459.48,1.12454,0.71626,1.56342,0.93906,0.95498,0.9717,0.76409,0.86738,0.602,1.54472,0.007228,0.007228,0.007228
30,2544.83,1.11333,0.71526,1.57905,0.94175,0.95587,0.97483,0.77465,0.85055,0.6036,1.5633,0.007129,0.007129,0.007129
31,2629.87,1.12443,0.7177,1.57036,0.94208,0.95829,0.97335,0.7734,0.84894,0.60348,1.53071,0.00703,0.00703,0.00703
32,2714.41,1.11137,0.70878,1.56639,0.94051,0.95818,0.97845,0.77404,0.85472,0.59022,1.53986,0.006931,0.006931,0.006931
33,2799.04,1.09834,0.70638,1.56773,0.94231,0.95704,0.97797,0.78094,0.84102,0.59115,1.52435,0.006832,0.006832,0.006832
34,2884.2,1.09903,0.70491,1.5712,0.94515,0.95808,0.98056,0.78841,0.83259,0.58552,1.54361,0.006733,0.006733,0.006733
35,2968.94,1.09356,0.69489,1.55969,0.94568,0.95989,0.97981,0.78379,0.84688,0.58804,1.5304,0.006634,0.006634,0.006634
36,3053.29,1.08593,0.69426,1.5525,0.95397,0.95891,0.98281,0.78577,0.83035,0.57254,1.54431,0.006535,0.006535,0.006535
37,3136.69,1.08637,0.69287,1.55971,0.95034,0.96,0.98298,0.7921,0.81813,0.57443,1.53445,0.006436,0.006436,0.006436
38,3220.98,1.07444,0.68754,1.55728,0.94764,0.95854,0.98088,0.79121,0.81862,0.57241,1.53106,0.006337,0.006337,0.006337
39,3304.82,1.07069,0.68925,1.55243,0.94947,0.96134,0.98197,0.79724,0.80468,0.5637,1.52998,0.006238,0.006238,0.006238
40,3388.45,1.0606,0.67995,1.54464,0.94867,0.96155,0.98251,0.79307,0.80348,0.56898,1.5149,0.006139,0.006139,0.006139
41,3472.52,1.05831,0.68054,1.55026,0.94658,0.96228,0.98261,0.79526,0.80766,0.56527,1.53512,0.00604,0.00604,0.00604
42,3556.91,1.05916,0.67333,1.54244,0.94592,0.96075,0.9816,0.79926,0.79251,0.55839,1.52456,0.005941,0.005941,0.005941
43,3642.24,1.0456,0.67298,1.55256,0.95462,0.96331,0.9841,0.79702,0.80718,0.54705,1.52299,0.005842,0.005842,0.005842
44,3727.73,1.04523,0.671,1.55071,0.95286,0.9644,0.98438,0.80143,0.78723,0.54542,1.52913,0.005743,0.005743,0.005743
45,3812.66,1.03669,0.66689,1.54484,0.95265,0.9644,0.98543,0.80566,0.78539,0.54802,1.50984,0.005644,0.005644,0.005644
46,3899.5,1.03255,0.66176,1.54393,0.95301,0.96502,0.9843,0.80444,0.7745,0.54348,1.52226,0.005545,0.005545,0.005545
47,3984.28,1.0374,0.66131,1.54139,0.95284,0.96523,0.98433,0.80367,0.7756,0.54293,1.50697,0.005446,0.005446,0.005446
48,4069.18,1.02133,0.65838,1.54338,0.9528,0.96326,0.98466,0.80298,0.77824,0.54022,1.51597,0.005347,0.005347,0.005347
49,4154.12,1.01855,0.65604,1.54374,0.95461,0.96342,0.98512,0.80879,0.76722,0.53749,1.51619,0.005248,0.005248,0.005248
